Year	Month	Date	Production	Product2014
1951	Feb	1951.13	403.93	
1951	March	1951.21	423.87	
1951	April	1951.29	454.00	
1951	May	1951.38	525.48	
1951	June	1951.46	545.00	
1951	July	1951.54	481.94	
1951	Aug	1951.63	458.71	
1951	Sept	1951.71	442.00	
1951	Oct	1951.79	407.42	
1951	Nov	1951.88	359.00	
1951	Dec	1951.96	351.29	
1952	Jan	1952.04	364.84	
1952	Feb	1952.13	395.17	
1952	March	1952.21	420.97	
1952	April	1952.29	447.00	
1952	May	1952.38	513.87	
1952	June	1952.46	555.00	
1952	July	1952.54	493.55	
1952	Aug	1952.63	476.13	
1952	Sept	1952.71	459.00	
1952	Oct	1952.79	420.97	
1952	Nov	1952.88	381.00	
1952	Dec	1952.96	379.35	
1953	Jan	1953.04	390.00	
1953	Feb	1953.13	415.71	
1953	March	1953.21	446.13	
1953	April	1953.29	483.00	
1953	May	1953.38	534.19	
1953	June	1953.46	559.00	
1953	July	1953.54	494.52	
1953	Aug	1953.63	477.10	
1953	Sept	1953.71	444.00	
1953	Oct	1953.79	406.45	
1953	Nov	1953.88	381.00	
1953	Dec	1953.96	397.74	
1954	Jan	1954.04	394.84	
1954	Feb	1954.13	414.64	
1954	March	1954.21	453.87	
1954	April	1954.29	478.00	
1954	May	1954.38	530.32	
1954	June	1954.46	555.00	
1954	July	1954.54	491.61	
1954	Aug	1954.63	452.90	
1954	Sept	1954.71	425.00	
1954	Oct	1954.79	396.77	
1954	Nov	1954.88	375.00	
1954	Dec	1954.96	379.35	
1955	Jan	1955.04	378.39	
1955	Feb	1955.13	408.21	
1955	March	1955.21	438.39	
1955	April	1955.29	465.00	
1955	May	1955.38	523.55	
1955	June	1955.46	547.00	
1955	July	1955.54	483.87	
1955	Aug	1955.63	451.94	
1955	Sept	1955.71	442.00	
1955	Oct	1955.79	410.32	
1955	Nov	1955.88	383.00	
1955	Dec	1955.96	389.03	
1956	Jan	1956.04	394.84	
1956	Feb	1956.13	421.03	
1956	March	1956.21	450.97	
1956	April	1956.29	460.00	
1956	May	1956.38	493.55	
1956	June	1956.46	524.00	
1956	July	1956.54	471.29	
1956	Aug	1956.63	440.32	
1956	Sept	1956.71	433.00	
1956	Oct	1956.79	419.03	
1956	Nov	1956.88	386.00	
1956	Dec	1956.96	383.23	
1957	Jan	1957.04	385.16	
1957	Feb	1957.13	399.64	
1957	March	1957.21	424.84	
1957	April	1957.29	459.00	
1957	May	1957.38	491.61	
1957	June	1957.46	516.00	
1957	July	1957.54	463.55	
1957	Aug	1957.63	452.90	
1957	Sept	1957.71	430.00	
1957	Oct	1957.79	413.23	
1957	Nov	1957.88	391.00	
1957	Dec	1957.96	390.00	
1958	Jan	1958.04	377.42	
1958	Feb	1958.13	392.14	
1958	March	1958.21	409.35	
1958	April	1958.29	436.00	
1958	May	1958.38	471.29	
1958	June	1958.46	507.00	
1958	July	1958.54	460.65	
1958	Aug	1958.63	441.29	
1958	Sept	1958.71	430.00	
1958	Oct	1958.79	414.19	
1958	Nov	1958.88	406.00	
1958	Dec	1958.96	397.74	
1959	Jan	1959.04	381.29	
1959	Feb	1959.13	392.14	
1959	March	1959.21	403.55	
1959	April	1959.29	439.00	
1959	May	1959.38	465.48	
1959	June	1959.46	490.00	
1959	July	1959.54	424.84	
1959	Aug	1959.63	420.97	
1959	Sept	1959.71	419.00	
1959	Oct	1959.79	430.65	
1959	Nov	1959.88	393.00	
1959	Dec	1959.96	389.03	
1960	Jan	1960.04	397.74	
1960	Feb	1960.13	401.38	
1960	March	1960.21	423.87	
1960	April	1960.29	450.00	
1960	May	1960.38	478.06	
1960	June	1960.46	486.00	
1960	July	1960.54	432.58	
1960	Aug	1960.63	420.97	
1960	Sept	1960.71	415.00	
1960	Oct	1960.79	401.61	
1960	Nov	1960.88	386.00	
1960	Dec	1960.96	394.84	
